original_line,game_name,bgg_id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,status,rating_category,game_type,rank_display,image_filename
https://boardgamegeek.com/boardgame/286751/zombicide-2nd-edition # Zombicide second edition,,286751.0,Zombicide: 2nd Edition,2021,499,6.98782,7.9332,4808,0,,,,,,,96.0,,Extracted from URL,Average (6.5-6.9),Base Game,#499,Zombicide_ 2nd Edition_2021_286751.jpg
colt express,colt express,158899.0,Colt Express,2014,543,6.95342,7.09676,34417,0,,,,155.0,,,,,Found,Average (6.5-6.9),Base Game,#543,Colt Express_2014_158899.jpg
citadels,citadels,478.0,Citadels,2000,567,6.93363,7.05639,56461,0,,,,180.0,,464.0,,,Found,Average (6.5-6.9),Base Game,#567,Citadels_2000_478.jpg
catan,catan,13.0,CATAN,1995,598,6.90748,7.09124,137300,0,,,,208.0,,558.0,,,Found,Average (6.5-6.9),Base Game,#598,CATAN_1995_13.png
catan #catan erweiterungen....,catan,13.0,CATAN,1995,598,6.90748,7.09124,137300,0,,,,208.0,,558.0,,,Found,Average (6.5-6.9),Base Game,#598,CATAN_1995_13.png
nova luna,nova luna,284435.0,Nova Luna,2019,618,6.89225,7.26203,9686,0,24.0,,,147.0,,,,,Found,Average (6.5-6.9),Base Game,#618,Nova Luna_2019_284435.jpg
camel up,camel up,153938.0,Camel Up,2014,633,6.87998,7.03135,28594,0,,,,187.0,,,,,Found,Average (6.5-6.9),Base Game,#633,Camel Up_2014_153938.jpg
die legenden von andor,die legenden von andor,127398.0,Legends of Andor,2012,654,6.86513,7.09084,20362,0,,,,,,,202.0,,Found,Average (6.5-6.9),Base Game,#654,Legends of Andor_2012_127398.jpg
draftosaurus,draftosaurus,264055.0,Draftosaurus,2019,665,6.85865,7.08549,16095,0,,,,186.0,,,,,Found,Average (6.5-6.9),Base Game,#665,Draftosaurus_2019_264055.jpg
first rat,first rat,347703.0,First Rat,2022,707,6.82455,7.53618,4360,0,,,,144.0,,412.0,,,Found,Average (6.5-6.9),Base Game,#707,First Rat_2022_347703.jpg
beer & bread,beer & bread,369880.0,Beer & Bread,2022,721,6.81367,7.34426,6132,0,,,,169.0,,457.0,,,Found,Average (6.5-6.9),Base Game,#721,Beer & Bread_2022_369880.jpg
living forest,living forest,328479.0,Living Forest,2021,744,6.79495,7.23433,7620,0,,,,191.0,,,,,Found,Average (6.5-6.9),Base Game,#744,Living Forest_2021_328479.jpg
kingdom builder,kingdom builder,107529.0,Kingdom Builder,2011,753,6.78734,6.93606,24481,0,,,,217.0,,536.0,,,Found,Average (6.5-6.9),Base Game,#753,Kingdom Builder_2011_107529.jpg
magic maze,magic maze,209778.0,Magic Maze,2017,764,6.78099,6.94101,23234,0,,,,228.0,,,,,Found,Average (6.5-6.9),Base Game,#764,Magic Maze_2017_209778.jpg
https://boardgamegeek.com/boardgame/233247/civilization-a-new-dawn # Civilization ein neues zeitalter,,233247.0,Civilization: A New Dawn,2017,767,6.78028,7.24339,7527,0,,,,,,493.0,,,Extracted from URL,Average (6.5-6.9),Base Game,#767,Civilization_ A New Dawn_2017_233247.jpg
werwölfe morgengrauen,werwölfe morgengrauen,163166.0,One Night Ultimate Werewolf: Daybreak,2015,781,6.76983,7.28233,6331,0,,,,,36.0,,,,Found,Average (6.5-6.9),Base Game,#781,One Night Ultimate Werewolf_ Daybreak_2015_163166.jpg
tokaido,tokaido,123540.0,Tokaido,2012,818,6.74488,6.91353,27907,0,,,,268.0,,,,,Found,Average (6.5-6.9),Base Game,#818,Tokaido_2012_123540.jpg
https://boardgamegeek.com/boardgame/331787/tiny-epic-dungeons # tiny epic dungeons,,331787.0,Tiny Epic Dungeons,2021,823,6.74219,7.46022,5306,0,,,,,,561.0,208.0,,Extracted from URL,Average (6.5-6.9),Base Game,#823,Tiny Epic Dungeons_2021_331787.jpg
https://boardgamegeek.com/boardgame/256382/disney-villainous-the-worst-takes-it-all  # villainous,,256382.0,Disney Villainous: The Worst Takes it All,2018,905,6.69231,6.92243,22131,0,,,,302.0,,,,,Extracted from URL,Average (6.5-6.9),Base Game,#905,Disney Villainous_ The Worst Takes it All_2018_256382.jpg
farshore,farshore,394106.0,Everdell Farshore,2023,990,6.64564,7.85257,2391,0,,,,209.0,,539.0,,,Found,Average (6.5-6.9),Base Game,#990,Everdell Farshore_2023_394106.png
mlem die astrokatzen,mlem die astrokatzen,387378.0,MLEM: Space Agency,2024,1037,6.61557,7.16919,5022,0,,,,283.0,,,,,No good match found,Average (6.5-6.9),Base Game,#1037,MLEM_ Space Agency_2024_387378.jpg
5 minute dungeon,5 minute dungeon,207830.0,5-Minute Dungeon,2017,1100,6.58853,6.90797,11105,0,,,,377.0,,,,,No good match found,Average (6.5-6.9),Base Game,#1100,5-Minute Dungeon_2017_207830.png
