original_line,game_name,bgg_id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,status,rating_category,game_type,rank_display,image_filename
heat nasser asphalt,heat nasser asphalt,410291.0,Heat: Heavy Rain,2024,0,6.73105,8.08726,2202,1,,,,,,,,,No good match found,Average (6.5-6.9),Expansion,Unranked,Heat_ Heavy Rain_2024_410291.jpg
revive ruf der tiefe,revive ruf der tiefe,385685.0,Revive: Call of the Abyss,2023,0,6.13727,8.32575,677,1,,,,,,,,,No good match found,Below Average (<6.5),Expansion,Unranked,Revive_ Call of the Abyss_2023_385685.jpg
dorfromantik,dorfromantik,406315.0,Dorfromantik: Expansion Content from Dorfromantik – The Duel,2023,0,0.0,8.02174,23,1,,,,,,,,,Found,Not Rated,Expansion,Unranked,Dorfromantik_ Expansion Content from Dorfromantik – The Duel_2023_406315.jpg
catan sternenfahrer,catan sternenfahrer,376805.0,CATAN: Starfarers  –  New Encounters,2023,0,5.53384,7.84,35,1,,,,,,,,,Found,Below Average (<6.5),Expansion,Unranked,CATAN_ Starfarers  –  New Encounters_2023_376805.jpg
die crew,die crew,311184.0,The Crew: The Deimos Adventure,2020,0,5.57936,7.599,89,1,,,,,,,,,Found,Below Average (<6.5),Expansion,Unranked,The Crew_ The Deimos Adventure_2020_311184.png
catan das duell,catan das duell,348682.0,Rivals for Catan: Hostel Scenario,2020,0,0.0,7.875,4,1,,,,,,,,,Found,Not Rated,Expansion,Unranked,Rivals for Catan_ Hostel Scenario_2020_348682.jpg
https://boardgamegeek.com/boardgame/290448/wingspan-european-expansion # flügelschlag europa erweiterung,,290448.0,Wingspan: European Expansion,2019,0,7.92928,8.33238,16930,1,,,,,,,,,Extracted from URL,Very Good (7.5-7.9),Expansion,Unranked,Wingspan_ European Expansion_2019_290448.jpg
Root the riverfolk expansion,Root the riverfolk expansion,241386.0,Root: The Riverfolk Expansion,2018,0,7.75363,8.42602,8804,1,,,,,,,,,No good match found,Very Good (7.5-7.9),Expansion,Unranked,Root_ The Riverfolk Expansion_2018_241386.jpg
221b baker street,221b baker street,266342.0,221B Baker Street Expansion Pack,2018,0,0.0,7.14286,7,1,,,,,,,,,Found,Not Rated,Expansion,Unranked,221B Baker Street Expansion Pack_2018_266342.jpg
cavern of soloth,cavern of soloth,85405.0,Catacombs: Cavern of Soloth,2011,0,5.77931,7.50561,374,1,,,,,,,,,Found,Below Average (<6.5),Expansion,Unranked,Catacombs_ Cavern of Soloth_2011_85405.jpg
